Date,total_dollar_oi
05-02-2024,10103555223.716
06-02-2024,10404916601.902
07-02-2024,10787037066.684
08-02-2024,10953684023.643
09-02-2024,11218544128.918
10-02-2024,11552676770.339
11-02-2024,11788886593.959
12-02-2024,12499626936.366001
13-02-2024,12239561501.261
14-02-2024,13018704972.747
15-02-2024,12918301224.015
16-02-2024,12844276640.315
17-02-2024,12791952634.572
18-02-2024,13026705689.121
19-02-2024,13460569732.900002
20-02-2024,13261552563.61
21-02-2024,12965259478.705
22-02-2024,12969857858.618
23-02-2024,13044205914.548
24-02-2024,13457916793.07
25-02-2024,13882937421.835
26-02-2024,14075180528.527725
27-02-2024,14092238704.85188
28-02-2024,14109170288.009521
29-02-2024,14142246227.231411
01-03-2024,15011468901.577759
02-03-2024,15437522059.527464
