Date,altcoin_dollar_oi
25-07-2022,1888524724.0829687
26-07-2022,1933699736.8531713
27-07-2022,2209391567.2614098
28-07-2022,2356725646.3434944
29-07-2022,2318023729.402449
30-07-2022,2397094393.185699
31-07-2022,2335002013.5316772
01-08-2022,2306519516.910828
02-08-2022,2201220835.638593
03-08-2022,2294183080.782729
04-08-2022,2348053736.3320236
05-08-2022,2547524947.8775935
06-08-2022,2562933221.303272
07-08-2022,2621019447.304792
08-08-2022,2631077483.705703
09-08-2022,2515552118.3950825
10-08-2022,2685964308.359132
11-08-2022,2763760011.001293
12-08-2022,2789756538.5806093
13-08-2022,2817542675.9821777
14-08-2022,2748581991.3452225
15-08-2022,2659238172.8149548
16-08-2022,2737135254.1201334
17-08-2022,2615700319.8574324
18-08-2022,2464147695.121223
19-08-2022,2136162534.8852782
20-08-2022,2125635662.9382536
21-08-2022,2210123938.0518303
22-08-2022,2289218250.569664
23-08-2022,2350607708.6353035
24-08-2022,2315382871.022581
25-08-2022,2321453291.767936
26-08-2022,2085113060.7031188
27-08-2022,2102866328.9290059
28-08-2022,2074993664.8076081
29-08-2022,2200642700.562001
30-08-2022,2090253934.947964
31-08-2022,2078092233.4962664
01-09-2022,2151049875.23504
02-09-2022,2145261862.9710903
03-09-2022,2243649349.12063
04-09-2022,2315139520.8821735
05-09-2022,2400561289.2895546
06-09-2022,2091327883.8545969
07-09-2022,2167075220.173178
08-09-2022,2254090728.1121197
09-09-2022,2367846411.7486925
10-09-2022,2378683661.0827894
11-09-2022,2334061973.0040317
12-09-2022,2361862586.0068383
13-09-2022,2061813246.5737793
14-09-2022,2148357415.1541133
15-09-2022,2091164029.4505782
16-09-2022,2207636059.423492
17-09-2022,2319411626.7570224
18-09-2022,2069584189.389519
19-09-2022,2165933065.238568
20-09-2022,2162747541.599353
21-09-2022,2050651599.5366573
22-09-2022,2314416161.2729235
23-09-2022,2322664262.76473
24-09-2022,2303296507.8118467
25-09-2022,2251046699.3015585
26-09-2022,2337865505.309119
27-09-2022,2252321225.904339
28-09-2022,2279511775.8713074
29-09-2022,2325463118.017354
30-09-2022,2296668223.4261065
01-10-2022,2345865657.049504
02-10-2022,2291893023.405875
03-10-2022,2402004519.871005
04-10-2022,2511136993.6283894
05-10-2022,2489821508.749109
06-10-2022,2467499745.128896
07-10-2022,2540893395.868513
08-10-2022,2554172303.4404707
09-10-2022,2631494592.1307783
10-10-2022,2431601485.836038
11-10-2022,2392324063.0833683
12-10-2022,2448195756.9331617
13-10-2022,2319506025.162433
14-10-2022,2281222801.00986
15-10-2022,2319136583.4941864
16-10-2022,2334236099.854689
17-10-2022,2409632144.4029675
18-10-2022,2365110466.2875586
19-10-2022,2341132302.5005574
20-10-2022,2353872812.2667537
21-10-2022,2421852319.404407
22-10-2022,2460542281.7715406
23-10-2022,2484605717.7143598
24-10-2022,2489047786.8346124
25-10-2022,2524201173.5952444
26-10-2022,2612997922.97604
27-10-2022,2538307732.385644
28-10-2022,2721959917.0889893
29-10-2022,2776291174.2282004
30-10-2022,2733415524.7892
31-10-2022,2792962305.3221326
01-11-2022,2872765258.8357644
02-11-2022,2682500012.9748254
03-11-2022,2884028182.957555
04-11-2022,3142868556.2364945
05-11-2022,3138354379.6168985
06-11-2022,2898118586.373699
07-11-2022,2836143014.0958576
08-11-2022,2036564990.488844
09-11-2022,1672344202.1819348
10-11-2022,1757144927.728721
11-11-2022,1679055722.0000124
12-11-2022,1633601630.6456375
13-11-2022,1661163832.4338417
14-11-2022,1724923832.6022077
15-11-2022,1697324548.1771684
16-11-2022,1745596783.723568
17-11-2022,1819767350.7809954
18-11-2022,1910369091.9792762
19-11-2022,1916351442.606779
20-11-2022,1755753001.578713
21-11-2022,1710307810.3164947
22-11-2022,1915796362.7806687
23-11-2022,2055842972.1039562
24-11-2022,2125665743.978909
25-11-2022,2151024004.484323
26-11-2022,2202113392.2942076
27-11-2022,2212950824.311872
28-11-2022,2114794893.20993
29-11-2022,2202982877.038336
30-11-2022,2278366443.5121074
01-12-2022,2256570264.1576557
02-12-2022,2305603660.593767
03-12-2022,2257004168.966042
04-12-2022,2308759174.791744
05-12-2022,2334200979.102327
06-12-2022,2352760077.2490997
07-12-2022,2246789001.7035646
08-12-2022,2248800392.072322
09-12-2022,2233420654.335189
10-12-2022,2279552917.893298
11-12-2022,2227939261.6630583
12-12-2022,2162861040.736438
13-12-2022,2087655424.3994584
14-12-2022,2033440471.1039062
15-12-2022,2074812630.2859101
16-12-2022,1729506213.9297924
17-12-2022,1826524298.991424
18-12-2022,1849878400.6026735
19-12-2022,1800449912.433649
20-12-2022,1875046383.683074
21-12-2022,1890017773.3865275
22-12-2022,1918758269.953391
23-12-2022,1936810116.3035567
24-12-2022,1973076479.7142396
25-12-2022,1985874962.253052
26-12-2022,2079190421.8076985
27-12-2022,2055920176.060687
28-12-2022,1969853053.4333587
29-12-2022,1979976087.3322072
30-12-2022,2018132278.2943406
31-12-2022,2052294485.4360185
01-01-2023,2119381341.9257038
02-01-2023,2142398074.1580625
03-01-2023,2218174084.222692
04-01-2023,2258118455.0259304
05-01-2023,2224885913.6575627
06-01-2023,2287925243.3791947
07-01-2023,2347309392.873045
08-01-2023,2400636303.014083
09-01-2023,2283602369.392848
10-01-2023,2336996594.9353657
11-01-2023,2402948329.825819
12-01-2023,2430396868.37528
13-01-2023,2555751834.2185597
14-01-2023,2450969970.310061
15-01-2023,2471867640.5103474
16-01-2023,2396140613.8497467
17-01-2023,2418608551.8184395
18-01-2023,2180151883.549762
19-01-2023,2303839975.7122912
20-01-2023,2601632978.445715
21-01-2023,2533922936.842676
22-01-2023,2642986699.373041
23-01-2023,2764362560.252164
24-01-2023,2487426371.8472404
25-01-2023,2725470111.4906664
26-01-2023,2786830935.0654097
27-01-2023,2906059968.8422446
28-01-2023,2876894885.325647
29-01-2023,3048905622.5905943
30-01-2023,2691831847.8517776
31-01-2023,2836409912.712197
01-02-2023,2986450706.857879
02-02-2023,2958661134.4457607
03-02-2023,3134071212.035749
04-02-2023,3151159153.5515656
05-02-2023,2952515772.854993
06-02-2023,2890120402.827215
07-02-2023,3179043139.6249766
08-02-2023,3034053908.3636994
09-02-2023,2488102375.827504
10-02-2023,2534315054.778473
11-02-2023,2679836093.576691
12-02-2023,2604668468.9248624
13-02-2023,2577869390.605094
14-02-2023,2672789791.01754
15-02-2023,2970709689.0098157
16-02-2023,2709894308.0210447
17-02-2023,2970385398.0031333
18-02-2023,3085762225.388974
19-02-2023,3062530084.5417705
20-02-2023,3260647048.531746
21-02-2023,3122116081.720894
22-02-2023,3022859199.7507224
23-02-2023,3023640855.4355044
24-02-2023,2865524471.4345155
25-02-2023,2801778317.162661
26-02-2023,2887302338.3232613
27-02-2023,2889032702.0648484
28-02-2023,2821090131.125165
01-03-2023,3102130380.014924
02-03-2023,3097623276.8884883
03-03-2023,2734971897.6270857
04-03-2023,2635072105.184292
05-03-2023,2659955854.259074
06-03-2023,2739038794.3859386
07-03-2023,2729240490.3063593
08-03-2023,2596838996.4084883
09-03-2023,2442861444.815257
10-03-2023,2376020514.2901278
11-03-2023,2331360211.4321523
12-03-2023,2478661596.688329
13-03-2023,2540440629.6880617
14-03-2023,2668500496.3025837
15-03-2023,2385404637.47636
16-03-2023,2467542309.655606
17-03-2023,2676873091.524707
18-03-2023,2575485141.037144
19-03-2023,2668950678.751135
20-03-2023,2516125895.33843
21-03-2023,2683292370.874468
22-03-2023,2459253411.6696134
23-03-2023,2748140742.5763264
24-03-2023,2667918802.8216724
25-03-2023,2696435106.6036587
26-03-2023,2744936286.5545025
27-03-2023,2705637311.799056
28-03-2023,2860129927.9607496
29-03-2023,3040733502.2344055
30-03-2023,2955608291.4139514
31-03-2023,3121326550.2117653
01-04-2023,3102222166.2957926
02-04-2023,2998107114.1497145
03-04-2023,3040564905.739405
04-04-2023,3166440352.1651816
05-04-2023,3235798036.3530083
06-04-2023,3200605090.2786283
07-04-2023,3199587907.7457166
08-04-2023,3160275689.8082075
09-04-2023,3182293678.3581085
10-04-2023,3325297577.6808457
11-04-2023,3375096560.02032
12-04-2023,3266864405.9919314
13-04-2023,3598688789.4454107
14-04-2023,3772768280.9731364
15-04-2023,3872250618.3535876
16-04-2023,4032815669.1813946
17-04-2023,3923793239.6334558
18-04-2023,4109724277.9722414
19-04-2023,3331891232.967823
20-04-2023,3237300435.849778
21-04-2023,3060705098.905404
22-04-2023,3170148790.593432
23-04-2023,3038486118.1081133
24-04-2023,3033763598.0681796
25-04-2023,3170986745.36423
26-04-2023,2902902869.268434
27-04-2023,2996144851.653488
28-04-2023,3049573921.0788083
29-04-2023,3104390162.3341055
30-04-2023,3046737239.450678
01-05-2023,3028800002.262452
02-05-2023,3084305918.7950788
03-05-2023,3100707377.1640854
04-05-2023,3124092405.230632
05-05-2023,3222989994.5744243
06-05-2023,3103423852.448208
07-05-2023,3094876378.947747
08-05-2023,2765175072.342362
09-05-2023,2827450708.287921
10-05-2023,2795423298.031891
11-05-2023,2773795646.0444975
12-05-2023,2828398432.8029356
13-05-2023,2812482131.9080753
14-05-2023,2889774175.349328
15-05-2023,2967582514.0597954
16-05-2023,3084144048.724545
17-05-2023,3209426683.055023
18-05-2023,3109832483.248813
19-05-2023,3161240231.1668053
20-05-2023,3204828212.0559144
21-05-2023,3145991351.0412807
22-05-2023,3239080116.9053583
23-05-2023,3277068846.343048
24-05-2023,3184509617.577528
25-05-2023,3214368544.498189
26-05-2023,3277092968.0948515
27-05-2023,3344889566.891547
28-05-2023,3435494179.5552425
29-05-2023,3382170557.6127844
30-05-2023,3516718730.820076
31-05-2023,3420478996.6975617
01-06-2023,3475271930.164598
02-06-2023,3643104545.5875173
03-06-2023,3626912044.9196095
04-06-2023,3707298617.3838673
05-06-2023,3112442921.171706
06-06-2023,3196824901.985384
07-06-2023,3028141936.1913424
08-06-2023,3068472801.9920893
09-06-2023,3119683556.207532
10-06-2023,2157146260.5979967
11-06-2023,2186352372.4201927
12-06-2023,2237063894.4408255
13-06-2023,2229719881.7684135
14-06-2023,2130788808.7054148
15-06-2023,2185930761.306752
16-06-2023,2243242103.2126303
17-06-2023,2313859967.596422
18-06-2023,2253664978.711221
19-06-2023,2313979982.1342993
20-06-2023,2455374628.833355
21-06-2023,2556026207.3010917
22-06-2023,2505095772.1351895
23-06-2023,2652311562.0433693
24-06-2023,2615984159.742962
25-06-2023,2684292260.3008795
26-06-2023,2699069247.1900187
27-06-2023,2811890313.973521
28-06-2023,2580771756.2702904
29-06-2023,2745518581.71303
30-06-2023,2847985941.809535
01-07-2023,2985446670.125868
02-07-2023,3071322827.4537635
03-07-2023,3151642134.3458824
04-07-2023,3103112905.3447895
05-07-2023,2971002115.6126375
06-07-2023,2847387726.436855
07-07-2023,2942515921.2269435
08-07-2023,2987065897.2747016
09-07-2023,2969845607.8735695
10-07-2023,2928629382.962827
11-07-2023,3043494417.77456
12-07-2023,3016597392.4773993
13-07-2023,3446470833.117693
14-07-2023,3187527673.254507
15-07-2023,3367767043.265845
16-07-2023,3346420797.0775986
17-07-2023,3362365178.4533515
18-07-2023,3304645096.8696404
19-07-2023,3417684689.322421
20-07-2023,3458721291.1208
21-07-2023,3519427458.5081034
22-07-2023,3362795192.558636
23-07-2023,3378666269.5674047
24-07-2023,3162070487.8977833
25-07-2023,3287833578.0587873
26-07-2023,3308043285.081131
27-07-2023,3345242046.186845
28-07-2023,3408503924.029932
29-07-2023,3506466881.3163476
30-07-2023,3412593577.593085
31-07-2023,3377715398.0103335
01-08-2023,3424272853.7799683
02-08-2023,3334126586.1782126
03-08-2023,3354138112.910838
04-08-2023,3324581921.298753
05-08-2023,3409792230.4075136
06-08-2023,3388919252.1124907
07-08-2023,3334642748.9924326
08-08-2023,3306099040.430048
09-08-2023,3321390411.812992
10-08-2023,3415770804.4737
11-08-2023,3514362624.165501
12-08-2023,3594034483.5191154
13-08-2023,3514113877.2117257
14-08-2023,3566376193.856311
15-08-2023,3230595406.114572
16-08-2023,2990939432.0586605
17-08-2023,2444516219.3347526
18-08-2023,2444443345.9982166
19-08-2023,2499707259.5694056
20-08-2023,2530810995.268774
21-08-2023,2526809066.350296
22-08-2023,2512166045.7747774
23-08-2023,2579657550.247154
24-08-2023,2569206600.505522
25-08-2023,2513681882.689895
26-08-2023,2553705945.0486917
27-08-2023,2612620049.7966776
28-08-2023,2546898846.110298
29-08-2023,2633574399.2953396
30-08-2023,2630142676.457696
31-08-2023,2536896071.5059237
01-09-2023,2447486601.825555
02-09-2023,2401513012.220971
03-09-2023,2430519273.706893
04-09-2023,2392179059.8241596
05-09-2023,2485687212.073988
06-09-2023,2513823057.862231
07-09-2023,2592119042.9008465
08-09-2023,2574273474.8367004
09-09-2023,2531237282.2796516
10-09-2023,2435956827.130071
11-09-2023,2362219766.504245
