Date,Value
18-11-2022,23.140495867768596
19-11-2022,24.793388429752067
20-11-2022,22.31404958677686
21-11-2022,21.487603305785125
22-11-2022,18.181818181818183
23-11-2022,23.770491803278688
24-11-2022,26.229508196721312
25-11-2022,23.770491803278688
26-11-2022,28.688524590163933
27-11-2022,22.131147540983605
28-11-2022,23.770491803278688
29-11-2022,23.770491803278688
30-11-2022,21.311475409836063
01-12-2022,22.131147540983605
02-12-2022,21.311475409836063
03-12-2022,20.491803278688526
04-12-2022,19.672131147540984
05-12-2022,21.951219512195124
06-12-2022,19.51219512195122
07-12-2022,14.634146341463413
08-12-2022,17.741935483870968
09-12-2022,22.400000000000002
10-12-2022,24.0
11-12-2022,26.400000000000002
12-12-2022,23.200000000000003
13-12-2022,22.400000000000002
14-12-2022,20.0
15-12-2022,20.8
16-12-2022,15.2
17-12-2022,21.6
18-12-2022,20.8
19-12-2022,16.0
20-12-2022,18.4
21-12-2022,15.079365079365079
22-12-2022,15.873015873015872
23-12-2022,15.079365079365079
24-12-2022,16.666666666666664
25-12-2022,15.079365079365079
26-12-2022,15.873015873015872
27-12-2022,17.46031746031746
28-12-2022,15.873015873015872
29-12-2022,14.173228346456693
30-12-2022,14.960629921259844
31-12-2022,14.960629921259844
01-01-2023,14.960629921259844
02-01-2023,15.748031496062993
03-01-2023,14.173228346456693
04-01-2023,15.748031496062993
05-01-2023,14.960629921259844
06-01-2023,15.748031496062993
07-01-2023,14.960629921259844
08-01-2023,17.322834645669293
09-01-2023,22.04724409448819
10-01-2023,24.409448818897637
11-01-2023,24.409448818897637
12-01-2023,21.25984251968504
13-01-2023,18.11023622047244
14-01-2023,19.68503937007874
15-01-2023,19.68503937007874
16-01-2023,18.89763779527559
17-01-2023,20.3125
18-01-2023,15.503875968992247
19-01-2023,16.27906976744186
20-01-2023,17.05426356589147
21-01-2023,17.05426356589147
22-01-2023,22.48062015503876
23-01-2023,25.581395348837212
24-01-2023,19.379844961240313
25-01-2023,22.48062015503876
26-01-2023,24.8062015503876
27-01-2023,27.906976744186046
28-01-2023,22.48062015503876
29-01-2023,23.25581395348837
30-01-2023,21.705426356589147
31-01-2023,24.031007751937985
01-02-2023,19.379844961240313
02-02-2023,16.27906976744186
03-02-2023,20.930232558139537
04-02-2023,27.131782945736433
05-02-2023,20.930232558139537
06-02-2023,36.434108527131784
07-02-2023,65.11627906976744
08-02-2023,48.06201550387597
09-02-2023,33.33333333333333
10-02-2023,51.162790697674424
11-02-2023,48.06201550387597
12-02-2023,44.96124031007752
13-02-2023,37.98449612403101
14-02-2023,44.18604651162791
15-02-2023,41.86046511627907
16-02-2023,36.434108527131784
17-02-2023,39.53488372093023
18-02-2023,47.286821705426355
19-02-2023,51.162790697674424
20-02-2023,53.48837209302325
21-02-2023,50.3875968992248
22-02-2023,45.73643410852713
23-02-2023,48.837209302325576
24-02-2023,45.73643410852713
25-02-2023,44.18604651162791
26-02-2023,45.73643410852713
27-02-2023,44.96124031007752
28-02-2023,38.759689922480625
01-03-2023,42.63565891472868
02-03-2023,37.98449612403101
03-03-2023,36.434108527131784
04-03-2023,24.8062015503876
05-03-2023,25.581395348837212
06-03-2023,29.457364341085274
07-03-2023,30.23255813953488
08-03-2023,25.581395348837212
09-03-2023,22.48062015503876
10-03-2023,22.48062015503876
11-03-2023,20.930232558139537
12-03-2023,23.25581395348837
13-03-2023,21.705426356589147
14-03-2023,29.457364341085274
15-03-2023,17.05426356589147
16-03-2023,25.581395348837212
17-03-2023,24.8062015503876
18-03-2023,23.25581395348837
19-03-2023,27.906976744186046
20-03-2023,22.48062015503876
21-03-2023,24.8062015503876
22-03-2023,24.031007751937985
23-03-2023,23.25581395348837
24-03-2023,24.031007751937985
25-03-2023,22.48062015503876
26-03-2023,21.705426356589147
27-03-2023,19.379844961240313
28-03-2023,20.930232558139537
29-03-2023,27.131782945736433
30-03-2023,25.581395348837212
31-03-2023,28.68217054263566
01-04-2023,27.131782945736433
02-04-2023,24.031007751937985
03-04-2023,24.8062015503876
04-04-2023,24.031007751937985
05-04-2023,27.131782945736433
06-04-2023,24.8062015503876
07-04-2023,24.8062015503876
08-04-2023,18.6046511627907
09-04-2023,17.05426356589147
10-04-2023,14.728682170542637
11-04-2023,13.178294573643413
12-04-2023,14.728682170542637
13-04-2023,13.953488372093023
14-04-2023,18.6046511627907
15-04-2023,17.05426356589147
16-04-2023,20.930232558139537
17-04-2023,23.846153846153847
18-04-2023,29.230769230769234
19-04-2023,20.76923076923077
20-04-2023,16.793893129770993
21-04-2023,17.557251908396946
22-04-2023,16.030534351145036
23-04-2023,12.121212121212121
24-04-2023,13.636363636363635
25-04-2023,11.278195488721805
26-04-2023,9.774436090225564
27-04-2023,9.022556390977442
28-04-2023,9.022556390977442
29-04-2023,9.774436090225564
30-04-2023,9.774436090225564
01-05-2023,10.526315789473683
02-05-2023,6.7164179104477615
03-05-2023,6.7164179104477615
04-05-2023,5.223880597014925
05-05-2023,4.477611940298507
06-05-2023,3.731343283582089
07-05-2023,2.9629629629629632
08-05-2023,1.4705882352941175
09-05-2023,2.2058823529411766
10-05-2023,2.941176470588235
11-05-2023,2.2058823529411766
12-05-2023,2.941176470588235
13-05-2023,2.941176470588235
14-05-2023,2.941176470588235
15-05-2023,2.9197080291970803
16-05-2023,3.64963503649635
17-05-2023,5.072463768115942
18-05-2023,5.0359712230215825
19-05-2023,5.0359712230215825
20-05-2023,4.316546762589928
21-05-2023,3.571428571428571
22-05-2023,4.25531914893617
23-05-2023,4.929577464788732
24-05-2023,4.225352112676056
25-05-2023,4.195804195804196
26-05-2023,4.195804195804196
27-05-2023,4.195804195804196
28-05-2023,5.594405594405594
29-05-2023,4.861111111111112
30-05-2023,4.827586206896552
31-05-2023,4.827586206896552
01-06-2023,6.206896551724138
02-06-2023,8.275862068965518
03-06-2023,9.655172413793103
04-06-2023,6.8493150684931505
05-06-2023,6.802721088435375
06-06-2023,7.482993197278912
07-06-2023,7.482993197278912
08-06-2023,5.405405405405405
09-06-2023,4.72972972972973
10-06-2023,3.3783783783783785
11-06-2023,4.054054054054054
12-06-2023,4.72972972972973
13-06-2023,4.054054054054054
14-06-2023,4.72972972972973
15-06-2023,5.405405405405405
16-06-2023,5.405405405405405
17-06-2023,6.756756756756757
18-06-2023,8.108108108108109
19-06-2023,7.4324324324324325
20-06-2023,7.4324324324324325
21-06-2023,6.0
22-06-2023,5.960264900662252
23-06-2023,7.28476821192053
24-06-2023,6.622516556291391
25-06-2023,7.9470198675496695
26-06-2023,6.622516556291391
27-06-2023,3.9473684210526314
28-06-2023,3.2467532467532463
29-06-2023,3.896103896103896
30-06-2023,7.096774193548387
01-07-2023,8.38709677419355
02-07-2023,7.096774193548387
03-07-2023,7.741935483870968
04-07-2023,5.769230769230769
05-07-2023,5.095541401273886
06-07-2023,5.095541401273886
07-07-2023,6.369426751592357
08-07-2023,7.643312101910828
09-07-2023,7.643312101910828
10-07-2023,8.280254777070063
11-07-2023,7.006369426751593
12-07-2023,8.227848101265822
13-07-2023,7.59493670886076
14-07-2023,6.329113924050633
15-07-2023,6.962025316455696
16-07-2023,6.329113924050633
17-07-2023,7.59493670886076
18-07-2023,8.227848101265822
19-07-2023,7.59493670886076
20-07-2023,10.126582278481013
21-07-2023,10.759493670886076
22-07-2023,10.126582278481013
23-07-2023,10.759493670886076
24-07-2023,8.860759493670885
25-07-2023,10.759493670886076
26-07-2023,12.658227848101266
27-07-2023,10.69182389937107
28-07-2023,11.320754716981133
29-07-2023,14.374999999999998
30-07-2023,11.875
31-07-2023,11.875
01-08-2023,11.180124223602485
02-08-2023,11.180124223602485
03-08-2023,10.493827160493826
04-08-2023,12.269938650306749
05-08-2023,12.269938650306749
06-08-2023,15.337423312883436
07-08-2023,11.65644171779141
08-08-2023,10.365853658536585
09-08-2023,12.804878048780488
10-08-2023,10.365853658536585
11-08-2023,11.585365853658537
12-08-2023,11.585365853658537
13-08-2023,15.24390243902439
14-08-2023,14.634146341463413
15-08-2023,11.585365853658537
16-08-2023,8.536585365853659
17-08-2023,9.75609756097561
18-08-2023,10.975609756097562
19-08-2023,11.585365853658537
20-08-2023,10.365853658536585
21-08-2023,10.365853658536585
22-08-2023,11.515151515151516
23-08-2023,12.727272727272727
24-08-2023,12.727272727272727
25-08-2023,11.515151515151516
26-08-2023,11.515151515151516
27-08-2023,13.333333333333334
28-08-2023,13.333333333333334
29-08-2023,12.121212121212121
30-08-2023,10.909090909090908
31-08-2023,11.44578313253012
01-09-2023,10.240963855421686
02-09-2023,7.83132530120482
03-09-2023,9.63855421686747
04-09-2023,13.253012048192772
05-09-2023,15.66265060240964
06-09-2023,17.46987951807229
07-09-2023,19.27710843373494
08-09-2023,42.168674698795186
09-09-2023,37.95180722891566
10-09-2023,26.506024096385545
